date	een_jaar_geleden_permill	twee_jaar_geleden_permill	drie_jaar_geleden_permill	vier_jaar_geleden_permill	vijf_jaar_geleden_permill	zes_jaar_geleden_permill	zeven_jaar_geleden_permill	acht_jaar_geleden_permill	negen_jaar_geleden_permill	tien_jaar_geleden_permill	elf_jaar_geleden_permill	twaalf_jaar_geleden_permill	dertien_jaar_geleden_permill	veertien_jaar_geleden_permill	vijftien_jaar_geleden_permill	zestien_jaar_geleden_permill	zeventien_jaar_geleden_permill	achttien_jaar_geleden_permill	negentien_jaar_geleden_permill	twintig_jaar_geleden_permill	dertig_jaar_geleden_permill	veertig_jaar_geleden_permill	vijftig_jaar_geleden_permill	zestig_jaar_geleden_permill	zeventig_jaar_geleden_permill	tachtig_jaar_geleden_permill	negentig_jaar_geleden_permill	honderd_jaar_geleden_permill	100_jaar_geleden_permill	honderdtien_jaar_geleden_permill	honderdtwintig_jaar_geleden_permill	honderddertig_jaar_geleden_permill	honderdveertig_jaar_geleden_permill	honderdvijftig_jaar_geleden_permill	honderdzestig_jaar_geleden_permill	honderdzeventig_jaar_geleden_permill	honderdtachtig_jaar_geleden_permill	honderdnegentig_jaar_geleden_permill	tweehonderd_jaar_geleden_permill	200_jaar_geleden_permill	no_words
1953	1.6899541062236016	1.766770201961038	1.8435862976984745	0.4608965744246186	0.7681609573743644	0.0	0.1536321914748729	0.1536321914748729	0.1536321914748729	1.3058736275364193	0.0	0.0	0.2304482872123093	0.07681609573743645	0.2304482872123093	0.0	0.1536321914748729	0.0	0.07681609573743645	0.9986092445866738	0.537712670162055	0.07681609573743645	1.07542534032411	0.537712670162055	0.07681609573743645	0.0	0.0	1.07542534032411	0.07681609573743645	0.0	0.0	0.0	0.0	0.07681609573743645	0.0	0.0	0.0	0.0	0.07681609573743645	0.07681609573743645	13018105
1954	3.7664051870636834	1.6985748882836218	0.8123619030921669	0.5908086567943032	0.9600640672907427	0.2954043283971516	0.0738510820992879	0.5908086567943032	0.1477021641985758	1.1077662314893186	0.0738510820992879	0.1477021641985758	0.0	0.0738510820992879	0.1477021641985758	0.0	0.0738510820992879	0.0738510820992879	0.0	0.5908086567943032	0.44310649259572743	0.44310649259572743	0.9600640672907427	0.22155324629786372	0.1477021641985758	0.0738510820992879	0.0	0.9600640672907427	0.36925541049643956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0738510820992879	0.0738510820992879	13540763
1955	2.2533190262597294	2.328429660468387	1.4271020499644953	0.6759957078779188	1.1266595131298647	0.07511063420865764	0.2253319026259729	0.15022126841731528	0.07511063420865764	2.027987123633756	0.15022126841731528	0.0	0.0	0.0	0.15022126841731528	0.0	0.07511063420865764	0.0	0.0	0.3755531710432882	0.826216976295234	0.0	0.2253319026259729	0.0	0.07511063420865764	0.15022126841731528	0.0	0.6759957078779188	0.2253319026259729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07511063420865764	0.15022126841731528	13313694
1956	2.248853298071314	2.4039466289727836	1.2407466472117592	1.2407466472117592	0.6203733236058796	0.46527999270440973	0.3101866618029398	0.23263999635220486	0.38773332725367476	0.9305599854088195	0.07754666545073495	0.0	0.0	0.0	0.1550933309014699	0.0	0.0	0.0	0.1550933309014699	0.6203733236058796	0.3101866618029398	0.38773332725367476	0.38773332725367476	0.07754666545073495	0.0	0.0	0.0	0.46527999270440973	0.23263999635220486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07754666545073495	0.07754666545073495	12895461
1957	2.752246148993961	2.67786111794007	1.0413904347544716	0.8182353415927992	0.5950802484311267	0.14877006210778168	0.44631018632334507	0.22315509316167254	0.22315509316167254	1.1901604968622534	0.07438503105389084	0.44631018632334507	0.22315509316167254	0.0	0.07438503105389084	0.0	0.0	0.07438503105389084	0.0	0.967005403700581	0.5206952173772358	0.5206952173772358	0.5950802484311267	0.22315509316167254	0.22315509316167254	0.07438503105389084	0.0	0.5950802484311267	0.14877006210778168	0.0	0.0	0.0	0.0	0.07438503105389084	0.0	0.0	0.0	0.0	0.0	0.07438503105389084	13443565
1958	3.363355320812474	2.9722674928110235	1.1732634840043514	0.6257405248023208	0.6257405248023208	0.46930539360174056	0.5475229592020306	0.3128702624011604	0.0782175656002901	1.4861337464055118	0.0782175656002901	0.0782175656002901	0.0782175656002901	0.23465269680087028	0.0782175656002901	0.0	0.0	0.0782175656002901	0.0	0.6257405248023208	0.3910878280014505	0.3128702624011604	0.6257405248023208	0.1564351312005802	0.0782175656002901	0.0	0.0782175656002901	0.6257405248023208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12784852
1959	2.5851859709540568	3.0160502994463996	1.2925929854770284	0.6893829255877485	0.6893829255877485	0.5170371941908113	0.08617286569846856	0.25851859709540564	0.17234573139693712	1.981975911064777	0.17234573139693712	0.0	0.08617286569846856	0.08617286569846856	0.17234573139693712	0.0	0.0	0.08617286569846856	0.0	1.0340743883816226	0.25851859709540564	0.34469146279387425	1.1202472540800914	0.17234573139693712	0.08617286569846856	0.08617286569846856	0.0	0.5170371941908113	0.0	0.0	0.0	0.0	0.0	0.08617286569846856	0.0	0.0	0.0	0.0	0.0	0.0	11604581
1960	1.982909455930829	2.2879724491509563	1.2965177211855419	0.9914547279654145	1.1439862245754782	0.9151889796603826	0.0	0.3813287415251594	0.22879724491509565	1.2965177211855419	0.07626574830503188	0.4575944898301913	0.0	0.15253149661006377	0.22879724491509565	0.0	0.0	0.0	0.0	0.30506299322012753	0.22879724491509565	0.5338602381352231	0.30506299322012753	0.0	0.07626574830503188	0.07626574830503188	0.07626574830503188	0.9151889796603826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13112046
1961	2.207781819528102	2.5474405609939637	1.3586349658634473	0.7642321682981891	1.103890909764051	0.5944027975652582	0.16982937073293092	0.33965874146586184	0.08491468536646546	2.4625258756274984	0.0	0.33965874146586184	0.33965874146586184	0.08491468536646546	0.2547440560993964	0.08491468536646546	0.08491468536646546	0.08491468536646546	0.0	0.08491468536646546	0.5944027975652582	0.16982937073293092	0.5944027975652582	0.0	0.16982937073293092	0.0	0.08491468536646546	0.8491468536646546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11776526
1962	2.1404532100495706	2.299005299682872	1.0305885826164598	1.1891406722497613	0.9513125377998091	0.7927604481665076	0.15855208963330153	0.3963802240832538	0.31710417926660306	2.299005299682872	0.0	0.31710417926660306	0.23782813444995227	0.07927604481665076	0.15855208963330153	0.15855208963330153	0.0	0.0	0.0	0.7927604481665076	0.47565626889990453	0.23782813444995227	0.7134844033498569	0.15855208963330153	0.15855208963330153	0.07927604481665076	0.07927604481665076	0.7927604481665076	0.0	0.0	0.0	0.0	0.0	0.15855208963330153	0.0	0.0	0.0	0.0	0.0	0.0	12614151
1963	2.2438894682486836	2.484306196989614	1.1219447341243418	0.641111276642481	1.0418058245440316	0.641111276642481	0.2404167287409304	0.4808334574818608	0.0	1.202083643704652	0.08013890958031013	0.0	0.2404167287409304	0.0	0.08013890958031013	0.0	0.08013890958031013	0.0	0.0	0.4006945479015506	0.4006945479015506	0.641111276642481	0.4006945479015506	0.3205556383212405	0.08013890958031013	0.08013890958031013	0.0	0.5609723670621709	0.2404167287409304	0.0	0.08013890958031013	0.0	0.0	0.08013890958031013	0.0	0.0	0.0	0.0	0.0	0.08013890958031013	12478333
1964	2.6398843796638816	2.8873735402573706	1.3199421898319408	1.3199421898319408	0.9899566423739556	0.41248193432248154	0.1649927737289926	0.5774747080514742	0.0	2.2274024453414003	0.0824963868644963	0.1649927737289926	0.0824963868644963	0.1649927737289926	0.3299855474579852	0.0824963868644963	0.0824963868644963	0.0824963868644963	0.0	0.41248193432248154	0.1649927737289926	0.4949783211869778	0.2474891605934889	0.2474891605934889	0.0824963868644963	0.0	0.0	0.2474891605934889	0.0824963868644963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12121743
1965	2.2133807414046984	3.5872032705524424	1.4501460029892852	1.2211755814646612	0.7632347384154133	0.3052938953661653	0.5342643168907892	0.38161736920770667	0.15264694768308265	3.0529389536616534	0.07632347384154133	0.22897042152462396	0.22897042152462396	0.07632347384154133	0.4579408430492479	0.07632347384154133	0.0	0.07632347384154133	0.0	1.2211755814646612	0.38161736920770667	0.6105877907323306	0.5342643168907892	0.3052938953661653	0.0	0.0	0.0	1.0685286337815785	0.22897042152462396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07632347384154133	0.07632347384154133	13102129
1966	3.3284485577041893	3.5780821995320036	1.4978018509668851	0.9985345673112569	0.7489009254834426	0.7489009254834426	0.41605606971302367	0.49926728365562845	0.16642242788520945	3.16202612981898	0.24963364182781422	0.16642242788520945	0.3328448557704189	0.0	0.16642242788520945	0.0	0.24963364182781422	0.08321121394260472	0.0	0.8321121394260473	0.6656897115408378	0.49926728365562845	0.16642242788520945	0.0	0.16642242788520945	0.0	0.0	0.6656897115408378	0.08321121394260472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08321121394260472	12017611
1967	2.702480773408421	2.4945976369923883	1.4551819549122265	1.1780044396908502	0.6929437880534411	0.06929437880534413	0.3464718940267206	0.20788313641603234	0.13858875761068826	1.9402426065496352	0.13858875761068826	0.13858875761068826	0.0	0.13858875761068826	0.3464718940267206	0.06929437880534413	0.13858875761068826	0.0	0.0	0.6236494092480971	0.20788313641603234	0.4850606516374088	0.554355030442753	0.06929437880534413	0.06929437880534413	0.0	0.0	0.4157662728320647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06929437880534413	14431185
1968	3.15959114627268	3.15959114627268	1.1190218643049075	1.5139707575889922	0.6582481554734749	0.26329926218939	0.1974744466420425	0.394948893284085	0.0	1.5139707575889922	0.131649631094695	0.131649631094695	0.0658248155473475	0.0	0.26329926218939	0.0	0.131649631094695	0.0	0.0	1.05319704875756	0.32912407773673746	0.5924233399261274	0.394948893284085	0.0	0.0	0.0	0.0	0.4607737088314325	0.0658248155473475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.131649631094695	0.0658248155473475	15191839
