date,een_jaar_geleden_permill,twee_jaar_geleden_permill,drie_jaar_geleden_permill,vier_jaar_geleden_permill,vijf_jaar_geleden_permill,zes_jaar_geleden_permill,zeven_jaar_geleden_permill,acht_jaar_geleden_permill,negen_jaar_geleden_permill,tien_jaar_geleden_permill,elf_jaar_geleden_permill,twaalf_jaar_geleden_permill,dertien_jaar_geleden_permill,veertien_jaar_geleden_permill,vijftien_jaar_geleden_permill,zestien_jaar_geleden_permill,zeventien_jaar_geleden_permill,achttien_jaar_geleden_permill,negentien_jaar_geleden_permill,twintig_jaar_geleden_permill,dertig_jaar_geleden_permill,veertig_jaar_geleden_permill,vijftig_jaar_geleden_permill,zestig_jaar_geleden_permill,zeventig_jaar_geleden_permill,tachtig_jaar_geleden_permill,negentig_jaar_geleden_permill,honderd_jaar_geleden_permill,honderdtien_jaar_geleden_permill,honderdtwintig_jaar_geleden_permill,honderddertig_jaar_geleden_permill,honderdveertig_jaar_geleden_permill,honderdvijftig_jaar_geleden_permill,honderdzestig_jaar_geleden_permill,honderdzeventig_jaar_geleden_permill,honderdtachtig_jaar_geleden_permill,honderdnegentig_jaar_geleden_permill,tweehonderd_jaar_geleden_permill,no_words
1934,1.4590072824665035,0.7856193059435018,0.22446265884100053,0.33669398826150077,0.22446265884100053,0.11223132942050026,0.0,0.11223132942050026,0.0,0.44892531768200106,0.11223132942050026,0.22446265884100053,0.0,0.0,0.0,0.0,0.11223132942050026,0.0,0.0,0.22446265884100053,0.11223132942050026,0.33669398826150077,0.33669398826150077,0.22446265884100053,0.0,0.0,0.0,0.11223132942050026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8910168
1935,1.258009949486326,0.6861872451743596,0.22872908172478654,0.3430936225871798,0.22872908172478654,0.11436454086239327,0.11436454086239327,0.11436454086239327,0.0,1.258009949486326,0.0,0.11436454086239327,0.0,0.0,0.22872908172478654,0.11436454086239327,0.0,0.0,0.0,0.5718227043119664,0.22872908172478654,0.0,0.0,0.0,0.0,0.0,0.0,0.11436454086239327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8743969
1936,1.5069163402937027,0.46366656624421615,0.3477499246831622,0.23183328312210807,0.3477499246831622,0.0,0.0,0.11591664156105404,0.23183328312210807,0.8114164909273783,0.0,0.0,0.0,0.0,0.0,0.11591664156105404,0.0,0.11591664156105404,0.0,0.3477499246831622,0.11591664156105404,0.23183328312210807,0.0,0.11591664156105404,0.11591664156105404,0.0,0.0,0.11591664156105404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8626889
1937,1.9712450998615376,0.23191118821900442,0.579777970547511,0.11595559410950221,0.11595559410950221,0.23191118821900442,0.3478667823285066,0.3478667823285066,0.11595559410950221,1.04360034698552,0.0,0.3478667823285066,0.11595559410950221,0.0,0.0,0.0,0.0,0.23191118821900442,0.0,0.6957335646570132,0.23191118821900442,0.3478667823285066,0.579777970547511,0.0,0.0,0.0,0.0,0.6957335646570132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8623991
1938,1.6137701500720172,1.6137701500720172,0.7530927367002747,0.43033870668587126,0.537923383357339,0.21516935334293563,0.10758467667146782,0.21516935334293563,0.10758467667146782,1.183431443386146,0.0,0.0,0.0,0.10758467667146782,0.10758467667146782,0.0,0.0,0.10758467667146782,0.0,1.075846766714678,0.10758467667146782,0.32275403001440345,0.21516935334293563,0.10758467667146782,0.0,0.0,0.10758467667146782,0.21516935334293563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9295004
1939,0.9779134339293325,0.9779134339293325,0.1955826867858665,0.0,0.0,0.0,0.1955826867858665,0.1955826867858665,0.0,0.5867480603575995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5867480603575995,0.0,0.391165373571733,0.0,0.0,0.0,0.0,0.0,0.782330747143466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5112927
1940,0.9550268314788305,0.23875670786970762,0.0,0.0,0.23875670786970762,0.23875670786970762,0.0,0.0,0.0,0.47751341573941525,0.47751341573941525,0.23875670786970762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9550268314788305,0.0,0.0,0.47751341573941525,0.0,0.0,0.0,0.0,0.7162701236091229,0.0,0.0,0.0,0.0,0.23875670786970762,0.0,0.0,0.0,0.0,0.0,4188364
1941,1.314316056210669,1.314316056210669,0.32857901405266726,0.0,0.0,0.0,0.0,0.0,0.0,1.9714740843160035,0.0,0.0,0.0,0.0,0.6571580281053345,0.0,0.0,0.0,0.0,1.6428950702633363,0.0,0.0,0.0,0.6571580281053345,0.0,0.0,0.0,0.32857901405266726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3043408
1942,1.069697190119421,0.6418183140716526,0.8557577520955368,0.4278788760477684,0.0,0.0,0.2139394380238842,0.0,0.6418183140716526,0.4278788760477684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2139394380238842,0.0,0.0,0.0,0.0,0.0,0.0,0.8557577520955368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4674220
1943,2.4710149941189847,0.0,0.0,0.8236716647063281,0.0,0.0,0.0,0.0,0.0,4.11835832353164,0.0,0.0,0.0,0.8236716647063281,0.0,0.0,0.0,0.0,0.0,0.8236716647063281,0.0,0.0,0.8236716647063281,0.0,0.0,0.0,0.0,0.8236716647063281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1214076
